Title,Time,Artist,Album,Genre,Heart,Plays
Dark Bird (St. Lucia Remix),4:44,Jake Wesley Rogers,Dark Bird (St. Lucia Remix) - Single,Pop,0,393
Delicate,3:52,Taylor Swift,reputation,Pop,0,312
Almost (Sweet Music),3:37,Hozier,"Wasteland, Baby!",Alternative,0,301
The Archer,3:31,Taylor Swift,Lover,Pop,0,301
Angel,4:54,Fleetwood Mac,Tusk (Remastered),Rock,0,293
Clean,4:31,Taylor Swift,1989 (Deluxe Edition),Pop,0,284
Dark Bird,3:37,Jake Wesley Rogers,Dark Bird - Single,Pop,0,269
Daylight,4:53,Taylor Swift,Lover,Pop,0,256
This Love (Taylor’s Version),4:10,Taylor Swift,This Love (Taylor’s Version) - Single,Pop,0,227
Sweet Girl (Live),3:19,Fleetwood Mac,The Dance,Rock,0,223
End of Desire,4:06,MUNA,About U,Alternative,0,211
Gypsy,4:27,Fleetwood Mac,Mirage (Deluxe),Pop,0,195
Angel (Live 1981),4:46,Stevie Nicks,Bella Donna (Deluxe Edition),Rock,0,189
Angel (4/2/79 Version),4:56,Fleetwood Mac,Tusk,Rock,0,175
Chasing Stars (feat. James Bay),2:50,Alesso & Marshmello,Chasing Stars (feat. James Bay) - Single,Pop,0,162
Cruel Summer,2:58,Taylor Swift,Lover,Pop,0,162
I Think He Knows,2:53,Taylor Swift,Lover,Pop,0,159
Lover,3:41,Taylor Swift,Lover,Pop,0,158
New Year’s Day,3:55,Taylor Swift,reputation,Country,0,154
Middle of Love,3:21,Jake Wesley Rogers,Pluto - EP,Pop,0,150
Two Way (feat. James Bay),4:54,KT Tunstall,Kin,Singer/Songwriter,0,149
Sometimes I,6:17,Rising Appalachia,Sometimes I - Single,Folk,0,146
Treacherous (Taylor's Version),4:03,Taylor Swift,Red (Taylor’s Version) (+ A Message From Taylor),Pop,0,145
Overpass Graffiti,3:57,Ed Sheeran,=,Pop,0,140
Storms,5:31,Fleetwood Mac,Tusk (Remastered),Rock,0,137
Out of the Woods,3:56,Taylor Swift,1989 (Deluxe Edition),Pop,0,137
Kind of Girl,4:06,MUNA,MUNA,Alternative,0,134
I Will Run to You (Remastered),3:22,Stevie Nicks & Tom Petty,The Wild Heart (Remastered),Rock,0,132
Evergreen,4:05,Jake Wesley Rogers,Evergreen - EP,Pop,0,131
Free Fallin',4:16,Tom Petty,Full Moon Fever,Rock,0,129
Sara,6:31,Fleetwood Mac,Tusk (Remastered),Rock,0,124
This Love,4:10,Taylor Swift,1989 (Deluxe Edition),Pop,0,121
Daylight (Live From Paris),4:22,Taylor Swift,Daylight (Live From Paris) - Single,Pop,0,120
Run,5:19,Minnz Piano,Red: Piano Instrumentals,Pop,0,119
